state,year,candidate,party,votes
Punjab,2014,Alok Verma,INC,676697
Uttarakhand,2014,Rajiv Das,INC,175451
Haryana,2019,Simran Kaur,SP,567714
Odisha,2024,Ramesh Gowda,SP,194695
Delhi,2024,Meena Chopra,AITC,336062
Uttar Pradesh,2024,Manoj Singh,SP,632578
Meghalaya,2019,Sonal Tiwari,AITC,224387
Andhra Pradesh,2024,Deepak Chawla,AITC,175865
Delhi,2014,Sonal Tiwari,INC,566816
Meghalaya,2019,Manoj Singh,Independent,511004
Madhya Pradesh,2024,Rajesh Nair,INC,484977
Arunachal Pradesh,2024,Ramesh Gowda,SP,153160
Arunachal Pradesh,2019,Pooja Desai,SP,386537
Goa,2019,Sonal Tiwari,BJP,436534
Tamil Nadu,2024,Vinod Joshi,BJP,274794
Maharashtra,2019,Meena Chopra,BJP,170493
Chhattisgarh,2024,Vinod Joshi,Independent,576964
Uttar Pradesh,2014,Pooja Desai,Independent,357103
Arunachal Pradesh,2014,Rajiv Das,INC,677305
Delhi,2024,Vinod Joshi,Independent,667940
Punjab,2024,Ramesh Gowda,BJP,307058
Uttar Pradesh,2014,Suresh Patel,Independent,596388
Rajasthan,2024,Alok Verma,AITC,83776
Mizoram,2024,Ramesh Gowda,Independent,576253
Gujarat,2019,Karthik Reddy,INC,544513
Haryana,2024,Pallavi Sharma,Independent,497523
Tamil Nadu,2019,Vinod Joshi,Independent,662979
Goa,2019,Sonal Tiwari,Independent,322860
Haryana,2024,Amit Sharma,SP,107720
Kerala,2014,Manoj Singh,SP,68713
Manipur,2019,Ramesh Gowda,AITC,261979
Goa,2019,Prakash Yadav,SP,494666
Karnataka,2024,Rajesh Nair,Independent,260213
Madhya Pradesh,2024,Pooja Desai,SP,467582
Tamil Nadu,2019,Pooja Desai,AITC,436441
Tripura,2024,Pooja Desai,AITC,460076
Manipur,2014,Sonal Tiwari,Independent,317267
Karnataka,2014,Anita Menon,Independent,554450
Himachal Pradesh,2024,Anita Menon,INC,132045
Goa,2014,Meena Chopra,Independent,602059
Bihar,2019,Ramesh Gowda,INC,666374
Odisha,2014,Alok Verma,INC,212005
Gujarat,2019,Pooja Desai,SP,354767
Tamil Nadu,2019,Suresh Patel,SP,382810
Chhattisgarh,2019,Suresh Patel,INC,569130
Punjab,2019,Vinod Joshi,Independent,246730
West Bengal,2019,Vinod Joshi,INC,250480
Delhi,2014,Karthik Reddy,Independent,131832
Telangana,2024,Deepak Chawla,BJP,594602
Bihar,2019,Deepak Chawla,BJP,512755
Delhi,2024,Rajesh Nair,INC,619481
Uttarakhand,2024,Neha Kulkarni,Independent,563434
Uttarakhand,2019,Neha Kulkarni,SP,622532
West Bengal,2024,Neha Kulkarni,BJP,308382
Chhattisgarh,2024,Ramesh Gowda,BJP,314904
Madhya Pradesh,2014,Neha Kulkarni,BJP,381904
Telangana,2014,Amit Sharma,SP,223269
Maharashtra,2014,Karthik Reddy,Independent,442014
Assam,2014,Alok Verma,BJP,99373
Gujarat,2024,Pooja Desai,Independent,328904
Jharkhand,2024,Meena Chopra,Independent,646251
Telangana,2019,Sonal Tiwari,AITC,120337
Bihar,2019,Neha Kulkarni,Independent,491449
Goa,2024,Manoj Singh,AITC,435953
Rajasthan,2014,Vikram Gupta,AITC,610729
Punjab,2024,Alok Verma,INC,409994
Telangana,2024,Suresh Patel,BJP,671384
Punjab,2019,Karthik Reddy,INC,140193
Goa,2019,Sonal Tiwari,SP,247736
Karnataka,2014,Pooja Desai,BJP,629489
Tripura,2019,Rajiv Das,BJP,290779
Madhya Pradesh,2014,Alok Verma,AITC,185535
Karnataka,2014,Anita Menon,INC,333394
Tripura,2024,Amit Sharma,INC,395717
Himachal Pradesh,2014,Ramesh Gowda,SP,587180
Uttarakhand,2019,Simran Kaur,BJP,330230
Karnataka,2019,Deepak Chawla,BJP,588607
Maharashtra,2014,Sonal Tiwari,AITC,290269
Jharkhand,2024,Rajiv Das,INC,354053
Bihar,2024,Pallavi Sharma,SP,406415
Jharkhand,2019,Alok Verma,SP,519311
Bihar,2014,Pallavi Sharma,Independent,106181
Bihar,2014,Vinod Joshi,SP,423177
Madhya Pradesh,2024,Rajesh Nair,Independent,578205
Odisha,2019,Neha Kulkarni,AITC,53223
Gujarat,2024,Karthik Reddy,SP,276834
Bihar,2014,Deepak Chawla,SP,592501
Uttarakhand,2024,Alok Verma,BJP,310726
Mizoram,2019,Suresh Patel,INC,169186
Jharkhand,2024,Vikram Gupta,AITC,326631
Chhattisgarh,2019,Pooja Desai,INC,301673
Tamil Nadu,2014,Manoj Singh,SP,246389
West Bengal,2024,Ramesh Gowda,SP,268272
Uttarakhand,2014,Meena Chopra,INC,83290
Himachal Pradesh,2019,Kiran Rao,Independent,423080
Nagaland,2024,Pooja Desai,SP,261137
Sikkim,2024,Simran Kaur,AITC,541927
Himachal Pradesh,2024,Anita Menon,SP,240881
Madhya Pradesh,2019,Amit Sharma,INC,186780
Goa,2014,Alok Verma,BJP,354083
Assam,2014,Meena Chopra,BJP,379806
Karnataka,2024,Rajesh Nair,Independent,186378
Andhra Pradesh,2019,Neha Kulkarni,SP,525140
Maharashtra,2019,Pooja Desai,INC,287389
Chhattisgarh,2019,Neha Kulkarni,SP,564006
Karnataka,2024,Neha Kulkarni,INC,450078
Mizoram,2014,Rajiv Das,SP,180049
Andhra Pradesh,2019,Meena Chopra,Independent,133191
Uttarakhand,2014,Ramesh Gowda,INC,607371
Himachal Pradesh,2019,Meena Chopra,AITC,88203
Haryana,2014,Meena Chopra,BJP,332092
Chhattisgarh,2014,Anita Menon,BJP,399040
Gujarat,2024,Alok Verma,Independent,348140
Uttarakhand,2019,Karthik Reddy,AITC,588458
Jharkhand,2019,Deepak Chawla,SP,260380
Kerala,2024,Kiran Rao,Independent,514745
Telangana,2014,Suresh Patel,SP,693611
Bihar,2019,Alok Verma,AITC,543733
Tamil Nadu,2014,Deepak Chawla,AITC,335846
Maharashtra,2024,Vinod Joshi,BJP,143019
Delhi,2014,Suresh Patel,INC,315937
Andhra Pradesh,2019,Rajesh Nair,Independent,195814
Nagaland,2024,Sonal Tiwari,BJP,274629
Tripura,2019,Manoj Singh,AITC,65086
Tamil Nadu,2019,Vikram Gupta,BJP,242739
Maharashtra,2024,Sonal Tiwari,INC,467039
West Bengal,2019,Anita Menon,SP,238669
Madhya Pradesh,2024,Sonal Tiwari,BJP,158935
Haryana,2014,Pooja Desai,INC,578206
Punjab,2024,Alok Verma,BJP,649749
Manipur,2019,Amit Sharma,AITC,401562
Delhi,2014,Neha Kulkarni,BJP,469888
Nagaland,2014,Suresh Patel,BJP,409077
Andhra Pradesh,2019,Neha Kulkarni,BJP,320718
Mizoram,2014,Manoj Singh,INC,559513
Telangana,2014,Pallavi Sharma,Independent,595719
Rajasthan,2014,Manoj Singh,AITC,507137
Himachal Pradesh,2014,Deepak Chawla,INC,695635
Chhattisgarh,2019,Vikram Gupta,AITC,627177
Uttarakhand,2024,Sonal Tiwari,BJP,618380
Mizoram,2024,Vinod Joshi,Independent,156600
Punjab,2019,Pallavi Sharma,BJP,581142
Sikkim,2024,Vinod Joshi,INC,375999
Rajasthan,2014,Amit Sharma,INC,333871
Tripura,2014,Alok Verma,AITC,379873
Jharkhand,2014,Amit Sharma,BJP,326536
Tripura,2014,Deepak Chawla,BJP,579838
Chhattisgarh,2024,Suresh Patel,INC,106605
Sikkim,2014,Deepak Chawla,INC,345706
Karnataka,2014,Alok Verma,Independent,320393
Himachal Pradesh,2014,Vinod Joshi,AITC,222042
Goa,2019,Rajiv Das,AITC,91621
Andhra Pradesh,2014,Rajiv Das,BJP,194288
Telangana,2019,Rajiv Das,AITC,519433
Rajasthan,2014,Kiran Rao,AITC,347468
Bihar,2014,Vikram Gupta,SP,206776
Sikkim,2014,Amit Sharma,BJP,618185
Himachal Pradesh,2014,Ramesh Gowda,AITC,169858
Kerala,2024,Deepak Chawla,BJP,218577
Arunachal Pradesh,2014,Vinod Joshi,AITC,478946
Nagaland,2019,Vinod Joshi,INC,676886
Mizoram,2024,Meena Chopra,Independent,214212
West Bengal,2019,Neha Kulkarni,AITC,667834
Goa,2024,Kiran Rao,AITC,526144
Tripura,2024,Alok Verma,INC,471906
Rajasthan,2019,Neha Kulkarni,INC,269017
Manipur,2014,Kiran Rao,AITC,252199
Tamil Nadu,2019,Meena Chopra,AITC,549487
Maharashtra,2019,Pooja Desai,Independent,474165
Assam,2019,Meena Chopra,AITC,243350
Madhya Pradesh,2024,Pooja Desai,SP,90958
Uttarakhand,2014,Deepak Chawla,INC,172732
Haryana,2014,Deepak Chawla,Independent,90907
Uttarakhand,2014,Kiran Rao,BJP,566760
Goa,2014,Manoj Singh,BJP,303420
Punjab,2024,Pallavi Sharma,AITC,191389
Gujarat,2019,Vinod Joshi,AITC,289125
Manipur,2024,Deepak Chawla,AITC,157598
Uttar Pradesh,2024,Suresh Patel,SP,344867
Haryana,2024,Alok Verma,INC,76588
Meghalaya,2014,Rajesh Nair,INC,446867
Assam,2014,Vinod Joshi,AITC,637895
Tripura,2019,Prakash Yadav,Independent,279746
Goa,2014,Pallavi Sharma,INC,424270
Telangana,2014,Prakash Yadav,AITC,578719
Nagaland,2019,Rajiv Das,AITC,693564
Jharkhand,2014,Deepak Chawla,Independent,68304
Sikkim,2024,Kiran Rao,AITC,357349
Assam,2014,Neha Kulkarni,INC,237040
Rajasthan,2014,Rajesh Nair,AITC,82696
Meghalaya,2024,Ramesh Gowda,Independent,171302
Himachal Pradesh,2014,Rajiv Das,INC,650630
Goa,2014,Vinod Joshi,Independent,683776
Chhattisgarh,2014,Ramesh Gowda,Independent,129953
Uttarakhand,2019,Meena Chopra,SP,420404
Chhattisgarh,2019,Sonal Tiwari,INC,498827
Arunachal Pradesh,2014,Deepak Chawla,INC,291702
Chhattisgarh,2014,Rajesh Nair,AITC,282465
Meghalaya,2024,Vinod Joshi,SP,219752
Goa,2014,Amit Sharma,SP,416314
Jharkhand,2014,Prakash Yadav,Independent,613867
Karnataka,2014,Anita Menon,AITC,462590
Odisha,2014,Alok Verma,Independent,102130
Haryana,2019,Rajiv Das,AITC,551572
Delhi,2014,Deepak Chawla,Independent,88672
Tamil Nadu,2019,Amit Sharma,BJP,546386
Uttar Pradesh,2024,Pooja Desai,INC,101437
Uttar Pradesh,2024,Sonal Tiwari,SP,681907
Uttarakhand,2019,Suresh Patel,AITC,494300
Haryana,2014,Rajesh Nair,AITC,347012
Madhya Pradesh,2014,Deepak Chawla,Independent,135113
Bihar,2019,Karthik Reddy,Independent,493891
Arunachal Pradesh,2024,Sonal Tiwari,SP,76942
Odisha,2019,Meena Chopra,AITC,407710
Haryana,2014,Pooja Desai,BJP,466013
Telangana,2014,Karthik Reddy,BJP,396079
Goa,2024,Ramesh Gowda,Independent,526740
Tamil Nadu,2019,Rajiv Das,SP,543935
Goa,2014,Meena Chopra,INC,500270
Kerala,2024,Amit Sharma,AITC,233480
Haryana,2014,Simran Kaur,SP,180643
Meghalaya,2024,Rajesh Nair,SP,55353
Tripura,2024,Karthik Reddy,SP,484414
Karnataka,2024,Rajesh Nair,BJP,513148
Karnataka,2024,Neha Kulkarni,Independent,155626
Bihar,2019,Amit Sharma,SP,408978
Tamil Nadu,2024,Rajesh Nair,INC,443386
Delhi,2014,Simran Kaur,SP,160009
Assam,2024,Pooja Desai,Independent,93919
Rajasthan,2024,Suresh Patel,AITC,650653
Nagaland,2014,Deepak Chawla,Independent,531010
Tamil Nadu,2019,Alok Verma,SP,120776
Jharkhand,2014,Vikram Gupta,INC,461996
Arunachal Pradesh,2019,Ramesh Gowda,AITC,536816
Tamil Nadu,2024,Karthik Reddy,AITC,412894
West Bengal,2019,Suresh Patel,SP,657326
Maharashtra,2019,Rajiv Das,SP,88137
Gujarat,2014,Vikram Gupta,Independent,531138
Gujarat,2024,Sonal Tiwari,INC,215225
Mizoram,2014,Pooja Desai,Independent,418359
Goa,2014,Anita Menon,Independent,132557
Maharashtra,2019,Manoj Singh,INC,392069
Goa,2024,Simran Kaur,BJP,442481
Arunachal Pradesh,2014,Deepak Chawla,INC,370481
Meghalaya,2014,Simran Kaur,INC,348424
Mizoram,2014,Vikram Gupta,INC,480433
Madhya Pradesh,2014,Neha Kulkarni,Independent,256828
Sikkim,2019,Suresh Patel,INC,665991
Nagaland,2024,Rajiv Das,AITC,240154
Maharashtra,2019,Kiran Rao,INC,501147
Mizoram,2024,Suresh Patel,AITC,535259
Kerala,2014,Meena Chopra,INC,67334
Tamil Nadu,2024,Vinod Joshi,INC,622064
Delhi,2024,Manoj Singh,INC,89271
Goa,2019,Anita Menon,AITC,543354
Tripura,2019,Manoj Singh,INC,88902
Uttarakhand,2019,Deepak Chawla,BJP,207243
Bihar,2014,Deepak Chawla,INC,369621
Nagaland,2014,Meena Chopra,Independent,437325
Manipur,2024,Alok Verma,INC,581684
Punjab,2019,Deepak Chawla,INC,260609
Uttarakhand,2014,Prakash Yadav,SP,427050
Mizoram,2014,Suresh Patel,AITC,584289
Kerala,2014,Rajiv Das,BJP,242783
Chhattisgarh,2024,Amit Sharma,INC,691138
Bihar,2014,Pallavi Sharma,BJP,158200
Karnataka,2014,Vinod Joshi,AITC,447773
Karnataka,2014,Neha Kulkarni,AITC,140050
Manipur,2014,Manoj Singh,Independent,407067
Bihar,2014,Ramesh Gowda,SP,216394
Punjab,2019,Suresh Patel,BJP,216939
Telangana,2019,Sonal Tiwari,Independent,430523
Himachal Pradesh,2014,Kiran Rao,BJP,434320
Chhattisgarh,2014,Amit Sharma,BJP,417149
Arunachal Pradesh,2019,Simran Kaur,INC,522872
Punjab,2014,Amit Sharma,SP,683285
Haryana,2024,Simran Kaur,Independent,659697
Sikkim,2024,Vikram Gupta,BJP,645072
Mizoram,2024,Simran Kaur,Independent,525669
West Bengal,2024,Alok Verma,INC,286051
Bihar,2014,Kiran Rao,BJP,356921
Meghalaya,2014,Amit Sharma,BJP,122830
Nagaland,2019,Sonal Tiwari,INC,690216
Delhi,2024,Neha Kulkarni,Independent,594358
Kerala,2019,Prakash Yadav,SP,477445
Punjab,2024,Pallavi Sharma,SP,94521
Kerala,2024,Ramesh Gowda,Independent,50099
Manipur,2024,Meena Chopra,SP,631305
Maharashtra,2024,Pallavi Sharma,Independent,568932
Punjab,2024,Suresh Patel,BJP,254391
Uttar Pradesh,2024,Anita Menon,BJP,172798
Gujarat,2014,Prakash Yadav,AITC,211427
Assam,2014,Vikram Gupta,SP,251177
Mizoram,2019,Deepak Chawla,INC,552217
Kerala,2024,Kiran Rao,AITC,686181
Nagaland,2024,Prakash Yadav,AITC,619246
Madhya Pradesh,2024,Amit Sharma,AITC,204617
Telangana,2019,Deepak Chawla,INC,351389
Assam,2024,Anita Menon,AITC,328296
Himachal Pradesh,2019,Amit Sharma,SP,73605
Tripura,2019,Manoj Singh,SP,358354
Tamil Nadu,2024,Alok Verma,INC,638383
Himachal Pradesh,2019,Anita Menon,BJP,354811
Uttarakhand,2024,Pooja Desai,SP,283994
Odisha,2019,Rajiv Das,INC,630946
Manipur,2014,Anita Menon,Independent,420195
Goa,2024,Deepak Chawla,INC,447268
Bihar,2014,Vikram Gupta,BJP,534059
Rajasthan,2024,Karthik Reddy,INC,141032
Bihar,2024,Ramesh Gowda,Independent,94014
Tripura,2014,Amit Sharma,AITC,377633
Meghalaya,2019,Rajiv Das,SP,120513
Meghalaya,2024,Anita Menon,BJP,301886
Manipur,2014,Deepak Chawla,AITC,327621
Himachal Pradesh,2019,Alok Verma,Independent,475097
Meghalaya,2024,Neha Kulkarni,BJP,339739
Assam,2024,Alok Verma,INC,580456
Sikkim,2019,Ramesh Gowda,Independent,77942
Manipur,2024,Manoj Singh,Independent,634746
Chhattisgarh,2024,Vinod Joshi,BJP,249561
Chhattisgarh,2024,Deepak Chawla,Independent,367088
Sikkim,2024,Vikram Gupta,AITC,268585
Himachal Pradesh,2024,Prakash Yadav,Independent,579993
Delhi,2019,Vikram Gupta,Independent,142825
Jharkhand,2014,Vinod Joshi,INC,52807
Meghalaya,2014,Vinod Joshi,Independent,376598
West Bengal,2024,Prakash Yadav,SP,571991
Goa,2024,Rajiv Das,Independent,200034
Kerala,2024,Manoj Singh,Independent,587745
Odisha,2019,Pooja Desai,INC,374775
Jharkhand,2019,Suresh Patel,BJP,90957
Rajasthan,2024,Alok Verma,SP,324248
Tamil Nadu,2019,Kiran Rao,BJP,568561
Maharashtra,2024,Rajiv Das,Independent,628505
Gujarat,2019,Neha Kulkarni,Independent,90573
Bihar,2024,Vinod Joshi,BJP,105393
Odisha,2014,Pallavi Sharma,AITC,58092
Arunachal Pradesh,2014,Rajesh Nair,BJP,585909
Kerala,2024,Alok Verma,BJP,299587
Himachal Pradesh,2014,Suresh Patel,SP,459986
Punjab,2024,Neha Kulkarni,INC,604567
Tamil Nadu,2019,Amit Sharma,BJP,439202
Sikkim,2019,Pooja Desai,SP,138289
Uttarakhand,2014,Vinod Joshi,INC,273737
Rajasthan,2014,Rajesh Nair,SP,178793
Manipur,2019,Karthik Reddy,AITC,328273
Haryana,2014,Amit Sharma,SP,488393
Kerala,2019,Kiran Rao,AITC,451094
Tripura,2019,Anita Menon,Independent,530630
West Bengal,2014,Vinod Joshi,INC,445789
Rajasthan,2024,Suresh Patel,INC,98025
Manipur,2024,Meena Chopra,AITC,130794
Madhya Pradesh,2024,Kiran Rao,BJP,532116
Mizoram,2019,Amit Sharma,SP,561815
Uttarakhand,2014,Pooja Desai,SP,574274
Jharkhand,2019,Vinod Joshi,INC,231748
Jharkhand,2014,Neha Kulkarni,Independent,412003
Haryana,2019,Prakash Yadav,INC,79593
Himachal Pradesh,2014,Karthik Reddy,INC,117654
Assam,2019,Amit Sharma,AITC,265766
Rajasthan,2019,Kiran Rao,INC,496267
Haryana,2014,Meena Chopra,SP,261851
Mizoram,2019,Rajesh Nair,INC,421068
Gujarat,2024,Kiran Rao,AITC,498642
Delhi,2024,Alok Verma,Independent,126633
Haryana,2019,Suresh Patel,AITC,225152
Punjab,2019,Karthik Reddy,SP,155537
West Bengal,2014,Alok Verma,AITC,85259
Arunachal Pradesh,2019,Suresh Patel,Independent,504051
Rajasthan,2019,Ramesh Gowda,AITC,599988
Kerala,2014,Kiran Rao,Independent,373010
Manipur,2014,Pallavi Sharma,AITC,230058
Uttarakhand,2019,Manoj Singh,INC,404937
Madhya Pradesh,2019,Deepak Chawla,SP,574575
Mizoram,2019,Amit Sharma,Independent,272818
Arunachal Pradesh,2024,Vinod Joshi,SP,573179
Uttar Pradesh,2014,Neha Kulkarni,BJP,223214
Andhra Pradesh,2019,Karthik Reddy,INC,377843
Jharkhand,2024,Suresh Patel,SP,464637
Odisha,2014,Vikram Gupta,INC,61643
Uttar Pradesh,2019,Vinod Joshi,SP,96534
Andhra Pradesh,2019,Prakash Yadav,BJP,623945
Uttarakhand,2014,Simran Kaur,INC,489443
Nagaland,2014,Vinod Joshi,INC,108154
Punjab,2019,Simran Kaur,INC,251041
Karnataka,2014,Meena Chopra,AITC,110557
Andhra Pradesh,2014,Ramesh Gowda,Independent,127217
Himachal Pradesh,2014,Simran Kaur,AITC,347615
Delhi,2019,Vikram Gupta,INC,487244
Rajasthan,2024,Ramesh Gowda,SP,307819
Haryana,2019,Sonal Tiwari,Independent,327432
Gujarat,2024,Ramesh Gowda,BJP,213576
Uttarakhand,2014,Deepak Chawla,BJP,336769
Jharkhand,2024,Amit Sharma,BJP,666902
Bihar,2014,Vikram Gupta,AITC,196356
Karnataka,2014,Vinod Joshi,SP,450885
Uttarakhand,2024,Suresh Patel,AITC,88778
Chhattisgarh,2019,Kiran Rao,Independent,459331
Gujarat,2024,Neha Kulkarni,BJP,232010
Punjab,2024,Vikram Gupta,AITC,576092
Madhya Pradesh,2014,Rajiv Das,BJP,236371
Jharkhand,2024,Neha Kulkarni,SP,582864
West Bengal,2024,Rajesh Nair,AITC,434192
Goa,2024,Vinod Joshi,BJP,241579
Bihar,2024,Kiran Rao,INC,531017
Tamil Nadu,2019,Sonal Tiwari,BJP,654838
Arunachal Pradesh,2019,Pallavi Sharma,BJP,597575
Goa,2019,Prakash Yadav,AITC,249479
Sikkim,2024,Prakash Yadav,Independent,67627
Karnataka,2019,Deepak Chawla,BJP,61318
Haryana,2024,Rajesh Nair,INC,421635
Odisha,2014,Vikram Gupta,INC,283608
Manipur,2024,Vikram Gupta,SP,469895
Kerala,2024,Manoj Singh,AITC,554662
Uttarakhand,2024,Alok Verma,AITC,441200
Assam,2019,Manoj Singh,BJP,113881
Gujarat,2014,Prakash Yadav,SP,361305
Assam,2014,Kiran Rao,BJP,535037
Andhra Pradesh,2014,Rajesh Nair,SP,269214
Telangana,2014,Alok Verma,INC,155107
Telangana,2014,Neha Kulkarni,SP,207243
Bihar,2024,Simran Kaur,INC,89224
Madhya Pradesh,2019,Sonal Tiwari,INC,154792
Maharashtra,2019,Ramesh Gowda,SP,390902
Assam,2019,Pallavi Sharma,INC,217882
Goa,2024,Karthik Reddy,Independent,241024
Nagaland,2024,Vikram Gupta,BJP,403950
Maharashtra,2014,Alok Verma,BJP,571872
Andhra Pradesh,2014,Amit Sharma,AITC,361344
Telangana,2014,Suresh Patel,Independent,444683
Goa,2024,Simran Kaur,SP,60041
Nagaland,2019,Vikram Gupta,Independent,261017
Uttar Pradesh,2024,Anita Menon,Independent,682661
Nagaland,2014,Ramesh Gowda,SP,425654
Delhi,2019,Pallavi Sharma,INC,76971
Punjab,2024,Ramesh Gowda,BJP,483261
Jharkhand,2019,Pooja Desai,AITC,467460
Goa,2019,Anita Menon,SP,657325
Telangana,2019,Amit Sharma,SP,485678
Tamil Nadu,2014,Vikram Gupta,INC,578251
Karnataka,2024,Ramesh Gowda,BJP,55660
Haryana,2019,Rajiv Das,SP,639155
Punjab,2024,Pooja Desai,AITC,274993
Gujarat,2019,Kiran Rao,SP,557001
Himachal Pradesh,2024,Vikram Gupta,BJP,545523
Madhya Pradesh,2019,Vinod Joshi,Independent,174223
Kerala,2014,Deepak Chawla,Independent,624364
Manipur,2014,Simran Kaur,AITC,650233
Sikkim,2024,Vinod Joshi,SP,70546
West Bengal,2014,Suresh Patel,INC,613904
Maharashtra,2014,Meena Chopra,SP,646766
Odisha,2019,Pooja Desai,BJP,285725
Meghalaya,2014,Manoj Singh,AITC,472985
Meghalaya,2024,Sonal Tiwari,INC,667449
Mizoram,2024,Pallavi Sharma,BJP,183291
Mizoram,2014,Alok Verma,INC,627171
Gujarat,2019,Vinod Joshi,INC,500236
Maharashtra,2014,Anita Menon,SP,121978
Delhi,2014,Rajesh Nair,SP,274812
Bihar,2019,Anita Menon,Independent,565920
Sikkim,2019,Alok Verma,BJP,182439
Gujarat,2014,Prakash Yadav,SP,636665
Maharashtra,2014,Meena Chopra,SP,381409
Tamil Nadu,2014,Manoj Singh,AITC,629613
Assam,2024,Vikram Gupta,BJP,279323
Chhattisgarh,2024,Ramesh Gowda,AITC,494654
Mizoram,2024,Sonal Tiwari,BJP,141282
Andhra Pradesh,2014,Manoj Singh,Independent,107402
Uttarakhand,2019,Rajesh Nair,BJP,241538
Uttar Pradesh,2019,Ramesh Gowda,INC,641585
Jharkhand,2019,Sonal Tiwari,INC,573176
West Bengal,2019,Sonal Tiwari,SP,562821
West Bengal,2014,Prakash Yadav,SP,325101
Delhi,2019,Deepak Chawla,INC,267745
Meghalaya,2019,Rajiv Das,AITC,72009
Goa,2019,Anita Menon,Independent,305583
Telangana,2019,Pooja Desai,AITC,455403
Andhra Pradesh,2019,Meena Chopra,Independent,505272
Tamil Nadu,2014,Prakash Yadav,BJP,334514
Andhra Pradesh,2014,Karthik Reddy,SP,63381
Uttarakhand,2024,Simran Kaur,AITC,668627
Chhattisgarh,2014,Amit Sharma,BJP,413574
Assam,2014,Prakash Yadav,BJP,53811
Maharashtra,2019,Neha Kulkarni,BJP,410814
Haryana,2014,Pallavi Sharma,Independent,56639
Sikkim,2014,Sonal Tiwari,BJP,667836
Tripura,2019,Anita Menon,SP,384585
Uttar Pradesh,2019,Pooja Desai,Independent,300778
Bihar,2019,Neha Kulkarni,Independent,679884
Telangana,2019,Amit Sharma,Independent,688437
Rajasthan,2014,Ramesh Gowda,SP,446182
Nagaland,2024,Ramesh Gowda,INC,156252
Andhra Pradesh,2019,Vinod Joshi,SP,178350
Odisha,2019,Alok Verma,INC,575337
Punjab,2014,Deepak Chawla,INC,199125
Haryana,2014,Prakash Yadav,SP,691959
Rajasthan,2024,Meena Chopra,Independent,684689
Uttar Pradesh,2019,Ramesh Gowda,AITC,186974
Uttar Pradesh,2014,Meena Chopra,BJP,321895
Gujarat,2014,Pallavi Sharma,BJP,367209
West Bengal,2014,Anita Menon,Independent,282401
Andhra Pradesh,2024,Manoj Singh,BJP,266826
Meghalaya,2024,Karthik Reddy,Independent,348063
Uttar Pradesh,2019,Amit Sharma,BJP,381181
Delhi,2014,Amit Sharma,SP,471663
Uttar Pradesh,2019,Sonal Tiwari,BJP,461520
Manipur,2024,Suresh Patel,SP,390405
Telangana,2024,Ramesh Gowda,AITC,485139
Arunachal Pradesh,2014,Kiran Rao,SP,642652
Mizoram,2014,Rajiv Das,AITC,463639
Haryana,2014,Neha Kulkarni,AITC,68424
Punjab,2019,Kiran Rao,AITC,269082
Madhya Pradesh,2024,Pooja Desai,BJP,426983
Goa,2014,Meena Chopra,INC,174231
Andhra Pradesh,2014,Pooja Desai,INC,154552
Nagaland,2024,Pooja Desai,Independent,217589
Punjab,2024,Amit Sharma,BJP,180758
Jharkhand,2024,Deepak Chawla,INC,608606
Punjab,2024,Suresh Patel,Independent,188676
Assam,2019,Rajiv Das,INC,173776
Tripura,2014,Ramesh Gowda,BJP,253041
Tripura,2024,Ramesh Gowda,SP,154005
Uttarakhand,2014,Sonal Tiwari,INC,694242
Maharashtra,2024,Rajesh Nair,INC,320723
Nagaland,2019,Pooja Desai,BJP,214575
Goa,2024,Deepak Chawla,SP,355873
Andhra Pradesh,2024,Alok Verma,Independent,623421
Kerala,2014,Pallavi Sharma,INC,294619
Himachal Pradesh,2019,Sonal Tiwari,SP,442988
Madhya Pradesh,2019,Simran Kaur,BJP,257585
Punjab,2014,Deepak Chawla,SP,570196
Odisha,2014,Prakash Yadav,SP,272517
West Bengal,2019,Prakash Yadav,AITC,413913
Maharashtra,2014,Meena Chopra,Independent,301529
Sikkim,2024,Vinod Joshi,AITC,376645
Odisha,2024,Meena Chopra,AITC,95092
Mizoram,2014,Vinod Joshi,Independent,308281
Punjab,2014,Pallavi Sharma,AITC,81584
Punjab,2014,Sonal Tiwari,INC,368366
Nagaland,2014,Ramesh Gowda,BJP,392927
Tamil Nadu,2019,Amit Sharma,Independent,50030
Odisha,2024,Deepak Chawla,BJP,167401
Assam,2014,Sonal Tiwari,BJP,252564
Telangana,2024,Simran Kaur,SP,58896
Goa,2019,Rajiv Das,Independent,588129
Mizoram,2019,Vinod Joshi,SP,646906
Goa,2014,Suresh Patel,Independent,174623
Maharashtra,2019,Alok Verma,SP,620917
Arunachal Pradesh,2024,Kiran Rao,SP,411810
Bihar,2019,Kiran Rao,Independent,267591
Rajasthan,2014,Alok Verma,AITC,359750
Arunachal Pradesh,2014,Pooja Desai,INC,64978
Uttar Pradesh,2019,Pooja Desai,SP,693180
Tamil Nadu,2014,Neha Kulkarni,BJP,78687
Uttarakhand,2014,Kiran Rao,BJP,646219
Rajasthan,2019,Alok Verma,AITC,494202
Kerala,2024,Neha Kulkarni,AITC,388193
Madhya Pradesh,2024,Amit Sharma,AITC,78975
Haryana,2019,Neha Kulkarni,AITC,538648
West Bengal,2014,Deepak Chawla,SP,173673
Delhi,2014,Rajiv Das,AITC,85471
Chhattisgarh,2024,Vinod Joshi,Independent,306100
Nagaland,2024,Ramesh Gowda,BJP,122092
